Entry,Entry name,Status,Protein names,Gene names,Organism,Length,Gene ontology (biological process),Gene ontology (cellular component),Gene ontology (GO),Gene ontology (molecular function),Gene ontology IDs,Cross-reference (KEGG),Cross-reference (KO),Cross-reference (Pfam),yourlist:M2018112014483A1C7ED25EE8374758DF3FD545FD0244567
A0A2B4SM01,A0A2B4SM01_STYPI,unreviewed,Exonuclease,exo AWC38_SpisGene5863,Stylophora pistillata (Smooth cauliflower coral),1109,,,exonuclease activity [GO:0004527]; zinc ion binding [GO:0008270],exonuclease activity [GO:0004527]; zinc ion binding [GO:0008270],GO:0004527; GO:0008270,,,PF05585;PF03564;PF09588;,A0A2B4SM01
A0A1S3J2H9,A0A1S3J2H9_LINUN,unreviewed,"glycine amidinotransferase, mitochondrial",LOC106169635,Lingula unguis,429,,,amidinotransferase activity [GO:0015067],amidinotransferase activity [GO:0015067],GO:0015067,lak:106169635;,K00613;,,A0A1S3J2H9
A0A2B4S1C8,A0A2B4S1C8_STYPI,unreviewed,Protein ERGIC-53,Lman1 AWC38_SpisGene13119,Stylophora pistillata (Smooth cauliflower coral),488,ER to Golgi vesicle-mediated transport [GO:0006888],cytoplasm [GO:0005737]; integral component of membrane [GO:0016021],cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; mannose binding [GO:0005537]; ER to Golgi vesicle-mediated transport [GO:0006888],mannose binding [GO:0005537],GO:0005537; GO:0005737; GO:0006888; GO:0016021,,,PF03388;,A0A2B4S1C8
A0A2B4SFA5,A0A2B4SFA5_STYPI,unreviewed,"ADP,ATP carrier protein",ABT AWC38_SpisGene8090,Stylophora pistillata (Smooth cauliflower coral),308,,integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743],integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; transmembrane transporter activity [GO:0022857],transmembrane transporter activity [GO:0022857],GO:0005743; GO:0016021; GO:0022857,,,PF00153;,A0A2B4SFA5
A0A1S3I1P3,A0A1S3I1P3_LINUN,unreviewed,kinesin-like protein KIF6,LOC106159511,Lingula unguis,1206,microtubule-based movement [GO:0007018],,ATP binding [GO:0005524]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; microtubule-based movement [GO:0007018],ATP binding [GO:0005524]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777],GO:0003777; GO:0005524; GO:0007018; GO:0008017,lak:106159511;,K10397;,PF00225;,A0A1S3I1P3
A0A2D0SEV1,A0A2D0SEV1_ICTPU,unreviewed,uncharacterized protein LOC108274852,LOC108274852,Ictalurus punctatus (Channel catfish) (Silurus punctatus),247,,,,,,ipu:108274852;,,,A0A2D0SEV1
A0A2B4SDV5,A0A2B4SDV5_STYPI,unreviewed,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial",Aldh6a1 AWC38_SpisGene6429,Stylophora pistillata (Smooth cauliflower coral),529,,,methylmalonate-semialdehyde dehydrogenase (acylating) activity [GO:0004491],methylmalonate-semialdehyde dehydrogenase (acylating) activity [GO:0004491],GO:0004491,,,PF00171;,A0A2B4SDV5
T2M7P5,T2M7P5_HYDVU,unreviewed,Kinesin-like protein KIF16B,KIF16B,Hydra vulgaris (Hydra) (Hydra attenuata),1224,microtubule-based movement [GO:0007018],,ATP binding [GO:0005524]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; microtubule-based movement [GO:0007018],ATP binding [GO:0005524]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777],GO:0003777; GO:0005524; GO:0007018; GO:0008017,,,PF00498;PF00225;,T2M7P5
A0A2B4RVG9,A0A2B4RVG9_STYPI,unreviewed,Phosphoethanolamine N-methyltransferase 3,NMT3 AWC38_SpisGene15213,Stylophora pistillata (Smooth cauliflower coral),529,,,methyltransferase activity [GO:0008168],methyltransferase activity [GO:0008168],GO:0008168,,,PF08241;,A0A2B4RVG9
A0A2B4S1I9,A0A2B4S1I9_STYPI,unreviewed,Aminopeptidase N,ANPEP AWC38_SpisGene13112,Stylophora pistillata (Smooth cauliflower coral),1033,,integral component of membrane [GO:0016021],integral component of membrane [GO:0016021]; aminopeptidase activity [GO:0004177]; metallopeptidase activity [GO:0008237]; zinc ion binding [GO:0008270],aminopeptidase activity [GO:0004177]; metallopeptidase activity [GO:0008237]; zinc ion binding [GO:0008270],GO:0004177; GO:0008237; GO:0008270; GO:0016021,,,PF11838;PF01433;,A0A2B4S1I9
A0A2B4SXE9,A0A2B4SXE9_STYPI,unreviewed,S-adenosylmethionine synthase (EC 2.5.1.6),MAT1A AWC38_SpisGene1563,Stylophora pistillata (Smooth cauliflower coral),412,one-carbon metabolic process [GO:0006730]; S-adenosylmethionine biosynthetic process [GO:0006556],,ATP binding [GO:0005524]; metal ion binding [GO:0046872]; methionine adenosyltransferase activity [GO:0004478]; one-carbon metabolic process [GO:0006730]; S-adenosylmethionine biosynthetic process [GO:0006556],ATP binding [GO:0005524]; metal ion binding [GO:0046872]; methionine adenosyltransferase activity [GO:0004478],GO:0004478; GO:0005524; GO:0006556; GO:0006730; GO:0046872,,,PF02773;PF02772;PF00438;,A0A2B4SXE9
A0A2B4S3F2,A0A2B4S3F2_STYPI,unreviewed,Vigilin,Hdlbp AWC38_SpisGene11860,Stylophora pistillata (Smooth cauliflower coral),1297,,,RNA binding [GO:0003723],RNA binding [GO:0003723],GO:0003723,,,PF00013;,A0A2B4S3F2
A0A2B4S949,A0A2B4S949_STYPI,unreviewed,Aflatoxin B1 aldehyde reductase member 2,Akr7a2 AWC38_SpisGene9746,Stylophora pistillata (Smooth cauliflower coral),326,,,oxidoreductase activity [GO:0016491],oxidoreductase activity [GO:0016491],GO:0016491,,,PF00248;,A0A2B4S949
A7RXD6,A7RXD6_NEMVE,unreviewed,Tetraspanin,v1g241341,Nematostella vectensis (Starlet sea anemone),222,cell surface receptor signaling pathway [GO:0007166],integral component of plasma membrane [GO:0005887],integral component of plasma membrane [GO:0005887]; cell surface receptor signaling pathway [GO:0007166],,GO:0005887; GO:0007166,nve:NEMVE_v1g241341;,K06497;,PF00335;,A7RXD6
A8DV88,A8DV88_NEMVE,unreviewed,Predicted protein,v1g233852,Nematostella vectensis (Starlet sea anemone),277,,,"metal ion binding [GO:0046872]; oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen [GO:0016702]","metal ion binding [GO:0046872]; oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen [GO:0016702]",GO:0016702; GO:0046872,nve:NEMVE_v1g233852;,,PF00305;,A8DV88
A0A2B4SL13,A0A2B4SL13_STYPI,unreviewed,Protein DD3-3,DD3-3 AWC38_SpisGene5414,Stylophora pistillata (Smooth cauliflower coral),653,,,,,,,,,A0A2B4SL13
A0A2B4SBR9,A0A2B4SBR9_STYPI,unreviewed,DNA topoisomerase 1,TOP1 AWC38_SpisGene7977,Stylophora pistillata (Smooth cauliflower coral),891,DNA topological change [GO:0006265],chromosome [GO:0005694],chromosome [GO:0005694]; DNA binding [GO:0003677]; DNA topoisomerase type I activity [GO:0003917]; DNA topological change [GO:0006265],DNA binding [GO:0003677]; DNA topoisomerase type I activity [GO:0003917],GO:0003677; GO:0003917; GO:0005694; GO:0006265,,,PF14370;PF01028;PF02919;,A0A2B4SBR9
A0A2B4SW07,A0A2B4SW07_STYPI,unreviewed,Tubulin gamma chain,TUBG1 AWC38_SpisGene1877,Stylophora pistillata (Smooth cauliflower coral),462,cytoplasmic microtubule organization [GO:0031122]; microtubule nucleation [GO:0007020],gamma-tubulin complex [GO:0000930]; microtubule [GO:0005874],gamma-tubulin complex [GO:0000930]; microtubule [GO:0005874]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; cytoplasmic microtubule organization [GO:0031122]; microtubule nucleation [GO:0007020],GTPase activity [GO:0003924]; GTP binding [GO:0005525],GO:0000930; GO:0003924; GO:0005525; GO:0005874; GO:0007020; GO:0031122,,,PF00091;PF03953;,A0A2B4SW07
A0A2B4RZ67,A0A2B4RZ67_STYPI,unreviewed,Guanylate kinase,Guk1 AWC38_SpisGene11677,Stylophora pistillata (Smooth cauliflower coral),195,,,guanylate kinase activity [GO:0004385],guanylate kinase activity [GO:0004385],GO:0004385,,,PF00625;,A0A2B4RZ67
A0A2B4SLG4,A0A2B4SLG4_STYPI,unreviewed,60 kDa SS-A/Ro ribonucleoprotein,trove2 AWC38_SpisGene5496,Stylophora pistillata (Smooth cauliflower coral),549,,,RNA binding [GO:0003723],RNA binding [GO:0003723],GO:0003723,,,PF05731;,A0A2B4SLG4
A0A2B4SI89,A0A2B4SI89_STYPI,unreviewed,E3 ubiquitin-protein ligase (EC 2.3.2.26),Nedd4 AWC38_SpisGene6168,Stylophora pistillata (Smooth cauliflower coral),814,ubiquitin-dependent protein catabolic process [GO:0006511],,ligase activity [GO:0016874]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-dependent protein catabolic process [GO:0006511],ligase activity [GO:0016874]; ubiquitin protein ligase activity [GO:0061630],GO:0006511; GO:0016874; GO:0061630,,,PF00168;PF00632;PF00397;,A0A2B4SI89
A0A2B4RNB2,A0A2B4RNB2_STYPI,unreviewed,Major vault protein,MVP AWC38_SpisGene17844,Stylophora pistillata (Smooth cauliflower coral),841,,,,,,,,PF11978;PF01505;,A0A2B4RNB2
A0A2B4S299,A0A2B4S299_STYPI,unreviewed,Drebrin-like protein,DBNL AWC38_SpisGene10558,Stylophora pistillata (Smooth cauliflower coral),558,,intracellular [GO:0005622],intracellular [GO:0005622]; actin binding [GO:0003779],actin binding [GO:0003779],GO:0003779; GO:0005622,,,PF00241;PF00018;PF14604;,A0A2B4S299
A0A2B4S820,A0A2B4S820_STYPI,unreviewed,PCTP-like protein,STARD10 AWC38_SpisGene10811,Stylophora pistillata (Smooth cauliflower coral),273,,,lipid binding [GO:0008289],lipid binding [GO:0008289],GO:0008289,,,PF01852;,A0A2B4S820
A0A2B4SFS1,A0A2B4SFS1_STYPI,unreviewed,Metabotropic glutamate receptor 8,Grm8 AWC38_SpisGene7096,Stylophora pistillata (Smooth cauliflower coral),921,,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930],G protein-coupled receptor activity [GO:0004930],GO:0004930; GO:0005886; GO:0016021,,,PF00003;PF01094;PF07562;,A0A2B4SFS1
A0A2B4SDS9,A0A2B4SDS9_STYPI,unreviewed,Protein LSM12-like A,lsm12a AWC38_SpisGene8533,Stylophora pistillata (Smooth cauliflower coral),187,,,,,,,,PF09793;,A0A2B4SDS9
A0A2B4S3D5,A0A2B4S3D5_STYPI,unreviewed,"Leucine--tRNA ligase, cytoplasmic",LARS AWC38_SpisGene11884,Stylophora pistillata (Smooth cauliflower coral),636,leucyl-tRNA aminoacylation [GO:0006429],cytoplasm [GO:0005737],cytoplasm [GO:0005737]; aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; leucine-tRNA ligase activity [GO:0004823]; leucyl-tRNA aminoacylation [GO:0006429],aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; leucine-tRNA ligase activity [GO:0004823],GO:0002161; GO:0004823; GO:0005524; GO:0005737; GO:0006429,,,PF00133;,A0A2B4S3D5
L0ATA5,L0ATA5_ACRPL,unreviewed,Alpha o G protein,,Acropora palmata (Elkhorn coral),354,adenylate cyclase-modulating G protein-coupled receptor signaling pathway [GO:0007188],,G-protein beta/gamma-subunit complex binding [GO:0031683]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; adenylate cyclase-modulating G protein-coupled receptor signaling pathway [GO:0007188],G-protein beta/gamma-subunit complex binding [GO:0031683]; GTPase activity [GO:0003924]; GTP binding [GO:0005525],GO:0003924; GO:0005525; GO:0007188; GO:0031683,,,PF00503;,L0ATA5
A0A2B4SHC0,A0A2B4SHC0_STYPI,unreviewed,Replication protein A subunit,RPA1 AWC38_SpisGene6739,Stylophora pistillata (Smooth cauliflower coral),664,DNA recombination [GO:0006310]; DNA repair [GO:0006281]; DNA replication [GO:0006260],nucleus [GO:0005634],nucleus [GO:0005634]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; DNA replication [GO:0006260],DNA binding [GO:0003677]; metal ion binding [GO:0046872],GO:0003677; GO:0005634; GO:0006260; GO:0006281; GO:0006310; GO:0046872,,,PF04057;PF08646;PF16900;PF01336;,A0A2B4SHC0
A0A2B4SL97,A0A2B4SL97_STYPI,unreviewed,Uncharacterized protein,AWC38_SpisGene4530,Stylophora pistillata (Smooth cauliflower coral),532,,,,,,,,,A0A2B4SL97
A0A2B4SVN7,A0A2B4SVN7_STYPI,unreviewed,Ras-related protein Rab-9A,RAB9A AWC38_SpisGene1701,Stylophora pistillata (Smooth cauliflower coral),197,,,GTP binding [GO:0005525]; GTPase activity [GO:0003924],GTPase activity [GO:0003924]; GTP binding [GO:0005525],GO:0003924; GO:0005525,,,PF00071;,A0A2B4SVN7
A0A2B4T0V2,A0A2B4T0V2_STYPI,unreviewed,Uncharacterized protein,AWC38_SpisGene739,Stylophora pistillata (Smooth cauliflower coral),779,,,,,,,,,A0A2B4T0V2
A0A0A8K827,A0A0A8K827_ACRDI,unreviewed,Activin 2 protein,AdiActivin 2,Acropora digitifera (Staghorn coral),430,,extracellular region [GO:0005576],extracellular region [GO:0005576]; growth factor activity [GO:0008083],growth factor activity [GO:0008083],GO:0005576; GO:0008083,adf:107340720;,K22679;,PF00019;PF00688;,A0A0A8K827
A0A2B4SVC1,A0A2B4SVC1_STYPI,unreviewed,Programmed cell death 6-interacting protein,PDCD6IP AWC38_SpisGene1268,Stylophora pistillata (Smooth cauliflower coral),835,,,,,,,,PF13949;PF03097;,A0A2B4SVC1
G1TI39,G1TI39_RABIT,unreviewed,Uncharacterized protein,RDX,Oryctolagus cuniculus (Rabbit),604,apical protein localization [GO:0045176]; cellular response to thyroid hormone stimulus [GO:0097067]; establishment of endothelial barrier [GO:0061028]; establishment of protein localization [GO:0045184]; microvillus assembly [GO:0030033]; negative regulation of adherens junction organization [GO:1903392]; negative regulation of cell size [GO:0045792]; negative regulation of GTPase activity [GO:0034260]; negative regulation of homotypic cell-cell adhesion [GO:0034111]; positive regulation of cell migration [GO:0030335]; positive regulation of cellular protein catabolic process [GO:1903364]; positive regulation of early endosome to late endosome transport [GO:2000643]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of gene expression [GO:0010628]; positive regulation of protein localization to early endosome [GO:1902966]; protein localization to plasma membrane [GO:0072659]; regulation of actin filament bundle assembly [GO:0032231]; regulation of cell shape [GO:0008360]; regulation of organelle assembly [GO:1902115]; regulation of ruffle assembly [GO:1900027],apical plasma membrane [GO:0016324]; cortical actin cytoskeleton [GO:0030864]; filopodium [GO:0030175]; focal adhesion [GO:0005925]; lamellipodium [GO:0030027]; microvillus [GO:0005902]; myelin sheath [GO:0043209]; ruffle [GO:0001726]; stereocilium [GO:0032420],apical plasma membrane [GO:0016324]; cortical actin cytoskeleton [GO:0030864]; filopodium [GO:0030175]; focal adhesion [GO:0005925]; lamellipodium [GO:0030027]; microvillus [GO:0005902]; myelin sheath [GO:0043209]; ruffle [GO:0001726]; stereocilium [GO:0032420]; actin binding [GO:0003779]; ATPase binding [GO:0051117]; protein domain specific binding [GO:0019904]; protein homodimerization activity [GO:0042803]; apical protein localization [GO:0045176]; cellular response to thyroid hormone stimulus [GO:0097067]; establishment of endothelial barrier [GO:0061028]; establishment of protein localization [GO:0045184]; microvillus assembly [GO:0030033]; negative regulation of adherens junction organization [GO:1903392]; negative regulation of cell size [GO:0045792]; negative regulation of GTPase activity [GO:0034260]; negative regulation of homotypic cell-cell adhesion [GO:0034111]; positive regulation of cell migration [GO:0030335]; positive regulation of cellular protein catabolic process [GO:1903364]; positive regulation of early endosome to late endosome transport [GO:2000643]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of gene expression [GO:0010628]; positive regulation of protein localization to early endosome [GO:1902966]; protein localization to plasma membrane [GO:0072659]; regulation of actin filament bundle assembly [GO:0032231]; regulation of cell shape [GO:0008360]; regulation of organelle assembly [GO:1902115]; regulation of ruffle assembly [GO:1900027],actin binding [GO:0003779]; ATPase binding [GO:0051117]; protein domain specific binding [GO:0019904]; protein homodimerization activity [GO:0042803],GO:0001726; GO:0003779; GO:0005902; GO:0005925; GO:0008360; GO:0010628; GO:0016324; GO:0019904; GO:0030027; GO:0030033; GO:0030175; GO:0030335; GO:0030864; GO:0032231; GO:0032420; GO:0034111; GO:0034260; GO:0042803; GO:0043209; GO:0045176; GO:0045184; GO:0045792; GO:0051117; GO:0061028; GO:0072659; GO:0097067; GO:1900027; GO:1900087; GO:1902115; GO:1902966; GO:1903364; GO:1903392; GO:2000643,ocu:100341234;,K05762;,PF00769;PF09380;PF00373;PF09379;,G1TI39
A0A2B4RML4,A0A2B4RML4_STYPI,unreviewed,Alpha-galactosidase (EC 3.2.1.-),NAGA AWC38_SpisGene18165,Stylophora pistillata (Smooth cauliflower coral),365,carbohydrate metabolic process [GO:0005975],,"hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; carbohydrate metabolic process [GO:0005975]","hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]",GO:0004553; GO:0005975,,,PF16499;PF17450;,A0A2B4RML4
C3Z403,C3Z403_BRAFL,unreviewed,Uncharacterized protein,BRAFLDRAFT_280254,Branchiostoma floridae (Florida lancelet) (Amphioxus),1031,,myosin complex [GO:0016459],myosin complex [GO:0016459]; actin binding [GO:0003779]; ATP binding [GO:0005524]; motor activity [GO:0003774],actin binding [GO:0003779]; ATP binding [GO:0005524]; motor activity [GO:0003774],GO:0003774; GO:0003779; GO:0005524; GO:0016459,bfo:BRAFLDRAFT_280254;,K10356;,PF00063;PF06017;,C3Z403
A0A2B4SR07,A0A2B4SR07_STYPI,unreviewed,Uncharacterized protein,AWC38_SpisGene2034,Stylophora pistillata (Smooth cauliflower coral),1858,DNA damage checkpoint [GO:0000077]; regulation of apoptotic process [GO:0042981],,DNA damage checkpoint [GO:0000077]; regulation of apoptotic process [GO:0042981],,GO:0000077; GO:0042981,,,PF01335;,A0A2B4SR07
A0A2B4R674,A0A2B4R674_STYPI,unreviewed,Caspase-8 (Fragment),CASP8 AWC38_SpisGene24266,Stylophora pistillata (Smooth cauliflower coral),154,DNA damage checkpoint [GO:0000077]; regulation of apoptotic process [GO:0042981],,DNA damage checkpoint [GO:0000077]; regulation of apoptotic process [GO:0042981],,GO:0000077; GO:0042981,,,PF01335;,A0A2B4R674
A7SCS3,A7SCS3_NEMVE,unreviewed,Predicted protein,v1g244354,Nematostella vectensis (Starlet sea anemone),684,,,,,,nve:NEMVE_v1g244354;,K04558;,,A7SCS3
A0A2B4S4V7,A0A2B4S4V7_STYPI,unreviewed,Neural cell adhesion molecule 2,Ncam2 AWC38_SpisGene11352,Stylophora pistillata (Smooth cauliflower coral),699,,,,,,,,PF00041;PF07679;,A0A2B4S4V7
A0A2B4SMU8,A0A2B4SMU8_STYPI,unreviewed,Phospholipase B-like (EC 3.1.1.-),AWC38_SpisGene5272,Stylophora pistillata (Smooth cauliflower coral),536,lipid catabolic process [GO:0016042],,hydrolase activity [GO:0016787]; lipid catabolic process [GO:0016042],hydrolase activity [GO:0016787],GO:0016042; GO:0016787,,,PF04916;,A0A2B4SMU8
A0A2B4RK81,A0A2B4RK81_STYPI,unreviewed,Mesencephalic astrocyte-derived neurotrophic factor-like,Manf AWC38_SpisGene18476,Stylophora pistillata (Smooth cauliflower coral),172,,,,,,,,PF10208;,A0A2B4RK81
A0A2B4SPX5,A0A2B4SPX5_STYPI,unreviewed,Neurogenic locus Notch protein,N AWC38_SpisGene4780,Stylophora pistillata (Smooth cauliflower coral),3356,,integral component of membrane [GO:0016021],integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509],calcium ion binding [GO:0005509],GO:0005509; GO:0016021,,,PF00008;PF07645;PF00754;PF00100;,A0A2B4SPX5
A7SQL7,A7SQL7_NEMVE,unreviewed,Predicted protein,v1g246781,Nematostella vectensis (Starlet sea anemone),518,cell communication [GO:0007154],integral component of membrane [GO:0016021],integral component of membrane [GO:0016021]; cell communication [GO:0007154],,GO:0007154; GO:0016021,nve:NEMVE_v1g246781;,,PF03160;PF14909;,A7SQL7
A0A2B4SB75,A0A2B4SB75_STYPI,unreviewed,Arsenite methyltransferase,As3mt AWC38_SpisGene9649,Stylophora pistillata (Smooth cauliflower coral),415,,,methyltransferase activity [GO:0008168],methyltransferase activity [GO:0008168],GO:0008168,,,PF13847;,A0A2B4SB75
A7SAK1,A7SAK1_NEMVE,unreviewed,Predicted protein,v1g243989,Nematostella vectensis (Starlet sea anemone),402,cilium assembly [GO:0060271]; cilium movement involved in cell motility [GO:0060294]; flagellated sperm motility [GO:0030317],sperm flagellum [GO:0036126],sperm flagellum [GO:0036126]; cilium assembly [GO:0060271]; cilium movement involved in cell motility [GO:0060294]; flagellated sperm motility [GO:0030317],,GO:0030317; GO:0036126; GO:0060271; GO:0060294,nve:NEMVE_v1g243989;,K18628;,,A7SAK1
A0A2B4SBJ6,A0A2B4SBJ6_STYPI,unreviewed,Ryncolin-4,Ryncolin-4 AWC38_SpisGene7189,Stylophora pistillata (Smooth cauliflower coral),315,,,calcium ion binding [GO:0005509],calcium ion binding [GO:0005509],GO:0005509,,,PF07645;PF00147;,A0A2B4SBJ6
A0A2B4SYI4,A0A2B4SYI4_STYPI,unreviewed,Beta-galactosidase (EC 3.2.1.23),Glb1l2 AWC38_SpisGene1194,Stylophora pistillata (Smooth cauliflower coral),619,carbohydrate metabolic process [GO:0005975],,beta-galactosidase activity [GO:0004565]; carbohydrate metabolic process [GO:0005975],beta-galactosidase activity [GO:0004565],GO:0004565; GO:0005975,,,PF01301;,A0A2B4SYI4
A0A2B4SRC3,A0A2B4SRC3_STYPI,unreviewed,Nucleobindin-2,Nucb2 AWC38_SpisGene3522,Stylophora pistillata (Smooth cauliflower coral),401,,,calcium ion binding [GO:0005509],calcium ion binding [GO:0005509],GO:0005509,,,PF13499;,A0A2B4SRC3
A0A2B4S5Z7,A0A2B4S5Z7_STYPI,unreviewed,Huntingtin-interacting protein K,Hypk AWC38_SpisGene10583,Stylophora pistillata (Smooth cauliflower coral),107,,,,,,,,,A0A2B4S5Z7
A0A2B4RXQ8,A0A2B4RXQ8_STYPI,unreviewed,Putative serine/threonine-protein kinase,AWC38_SpisGene14499,Stylophora pistillata (Smooth cauliflower coral),1114,,,ATP binding [GO:0005524]; protein kinase activity [GO:0004672],ATP binding [GO:0005524]; protein kinase activity [GO:0004672],GO:0004672; GO:0005524,,,PF00069;,A0A2B4RXQ8
A0A2B4RWM1,A0A2B4RWM1_STYPI,unreviewed,Coatomer subunit zeta-1,COPZ1 AWC38_SpisGene14812,Stylophora pistillata (Smooth cauliflower coral),177,protein transport [GO:0015031],membrane [GO:0016020],membrane [GO:0016020]; protein transport [GO:0015031],,GO:0015031; GO:0016020,,,PF01217;,A0A2B4RWM1
A0A2B4RLJ4,A0A2B4RLJ4_STYPI,unreviewed,Poly [ADP-ribose] polymerase (PARP) (EC 2.4.2.30),Parp1 AWC38_SpisGene18324,Stylophora pistillata (Smooth cauliflower coral),1607,protein ADP-ribosylation [GO:0006471],integral component of membrane [GO:0016021],integral component of membrane [GO:0016021]; DNA binding [GO:0003677]; NAD+ ADP-ribosyltransferase activity [GO:0003950]; RNA binding [GO:0003723]; zinc ion binding [GO:0008270]; protein ADP-ribosylation [GO:0006471],DNA binding [GO:0003677]; NAD+ ADP-ribosyltransferase activity [GO:0003950]; RNA binding [GO:0003723]; zinc ion binding [GO:0008270],GO:0003677; GO:0003723; GO:0003950; GO:0006471; GO:0008270; GO:0016021,,,PF14798;PF00013;PF08063;PF00644;PF02877;PF05406;PF00645;,A0A2B4RLJ4
A0A2B4RJD7,A0A2B4RJD7_STYPI,unreviewed,Organic cation transporter protein,Orct AWC38_SpisGene18397,Stylophora pistillata (Smooth cauliflower coral),557,,integral component of membrane [GO:0016021],integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857],transmembrane transporter activity [GO:0022857],GO:0016021; GO:0022857,,,PF00083;,A0A2B4RJD7
A0A2B4SSX1,A0A2B4SSX1_STYPI,unreviewed,Liprin-alpha-1,PPFIA1 AWC38_SpisGene3518,Stylophora pistillata (Smooth cauliflower coral),1213,synapse organization [GO:0050808],synapse [GO:0045202],synapse [GO:0045202]; synapse organization [GO:0050808],,GO:0045202; GO:0050808,,,PF00536;PF07647;,A0A2B4SSX1
A0A2B4SSP9,A0A2B4SSP9_STYPI,unreviewed,Semaphorin-5A,SEMA5A AWC38_SpisGene3252,Stylophora pistillata (Smooth cauliflower coral),595,,,,,,,,PF00090;,A0A2B4SSP9
A0A2B4SJZ7,A0A2B4SJZ7_STYPI,unreviewed,Adenylyl cyclase-associated protein 2,CAP2 AWC38_SpisGene6420,Stylophora pistillata (Smooth cauliflower coral),257,cytoskeleton organization [GO:0007010],,actin binding [GO:0003779]; cytoskeleton organization [GO:0007010],actin binding [GO:0003779],GO:0003779; GO:0007010,,,PF01213;,A0A2B4SJZ7
A0A2B4RHY4,A0A2B4RHY4_STYPI,unreviewed,Chymotrypsinogen B2,CTRB2 AWC38_SpisGene18461,Stylophora pistillata (Smooth cauliflower coral),548,,,serine-type endopeptidase activity [GO:0004252],serine-type endopeptidase activity [GO:0004252],GO:0004252,,,PF00089;,A0A2B4RHY4
A0A2B4SWB6,A0A2B4SWB6_STYPI,unreviewed,Sialidase,TCNA AWC38_SpisGene952,Stylophora pistillata (Smooth cauliflower coral),2493,,extracellular region [GO:0005576],extracellular region [GO:0005576]; calcium ion binding [GO:0005509],calcium ion binding [GO:0005509],GO:0005509; GO:0005576,,,PF00754;PF00040;PF00594;PF00090;PF00092;,A0A2B4SWB6
A0A2B4T1C5,A0A2B4T1C5_STYPI,unreviewed,Hemicentin-1,HMCN1 AWC38_SpisGene549,Stylophora pistillata (Smooth cauliflower coral),1791,,integral component of membrane [GO:0016021],integral component of membrane [GO:0016021],,GO:0016021,,,PF00090;PF00092;,A0A2B4T1C5
A0A2B4S408,A0A2B4S408_STYPI,unreviewed,Uncharacterized protein,AWC38_SpisGene12197,Stylophora pistillata (Smooth cauliflower coral),629,,,,,,,,,A0A2B4S408
A0A0G2SJD9,A0A0G2SJD9_STYPI,unreviewed,Anion exchange protein,SLC4delta,Stylophora pistillata (Smooth cauliflower coral),1206,,integral component of membrane [GO:0016021],integral component of membrane [GO:0016021]; inorganic anion exchanger activity [GO:0005452],inorganic anion exchanger activity [GO:0005452],GO:0005452; GO:0016021,,,PF07565;PF00955;,A0A0G2SJD9
A8C9L8,A8C9L8_MONCP,unreviewed,Beta gamma crystallin isoform 8,,Montipora capitata (Rice coral),172,,,,,,,,PF00030;,A8C9L8
A0A2B4STQ8,A0A2B4STQ8_STYPI,unreviewed,Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8),AWC38_SpisGene2354,Stylophora pistillata (Smooth cauliflower coral),164,protein folding [GO:0006457],,peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; protein folding [GO:0006457],peptidyl-prolyl cis-trans isomerase activity [GO:0003755],GO:0003755; GO:0006457,,,PF00160;,A0A2B4STQ8
A7S1H1,A7S1H1_NEMVE,unreviewed,Predicted protein,v1g100873,Nematostella vectensis (Starlet sea anemone),483,,integral component of membrane [GO:0016021],integral component of membrane [GO:0016021],,GO:0016021,nve:NEMVE_v1g100873;,,PF00789;,A7S1H1
